tick,timestamp,channel_total_generated_packets,channel_total_data_packet_sent,channel_total_sent_packets,channel_total_loss_packets,channel_total_timeout_nodes,channel_avg_packet_loss_percentage,channel_total_throughput,channel_avg_recent_packet_loss,nodes_avg_data_packet_sent,nodes_avg_control_packet_sent,nodes_avg_total_packet_sent,nodes_avg_data_packet_generated,nodes_avg_control_packet_generated,nodes_avg_total_packet_generated,nodes_avg_data_packet_loss,nodes_avg_control_packet_loss,nodes_avg_total_packet_loss,nodes_avg_packet_loss_percentage,nodes_avg_success_sent_bits,nodes_avg_throughput_per_node,nodes_avg_timeout_retry,nodes_avg_cw_enters,nodes_avg_cw_increase,nodes_avg_recent_packet_loss_pct,nodes_total_data_packet_sent,nodes_total_control_packet_sent,nodes_total_packet_sent,nodes_total_packet_loss,nodes_total_success_bits,nodes_avg_epsilon,nodes_min_epsilon,nodes_max_epsilon,nodes_nodes_in_IDLE,nodes_nodes_in_WAITING_UNTIL_CHANNEL_IS_CLEAR,nodes_nodes_in_SENDING_RTS,nodes_nodes_in_SENDING_CTS,nodes_nodes_in_WAITING_CTS,nodes_nodes_in_SENDING_DATA,nodes_nodes_in_WAITING_DATA,nodes_nodes_in_SENDING_ACK,nodes_nodes_in_WAITING_ACK,nodes_nodes_in_TIMEOUT,nodes_nodes_in_END_BACKOFF_TIMEOUT,nodes_avg_nav_seconds,nodes_max_nav_seconds,nodes_nodes_with_active_nav
410000,2026-01-16T11:41:24.161267,35517,4280,25416,10100,19213,0.46773521706539545,0.00376166,0.30651549109578774,42.8,211.36,254.16,63.2,291.97,355.17,20.4,80.6,101.0,0.46773521706539545,3761.66,3.76166e-05,192.13,0.0,0.0,0.30651549109578774,4280,21136,25416,10100,376166,0.03,0.03,0.03,0,8,77,0,4,0,8,0,3,0,0,104.81,177,75
420000,2026-01-16T11:41:24.708590,36376,4385,26037,10338,19665,0.4674450168139221,0.0038547,0.3063395033716497,43.85,216.52,260.37,64.84,298.92,363.76,20.98,82.4,103.38,0.4674450168139221,3854.7,3.8547e-05,196.65,0.0,0.0,0.3063395033716497,4385,21652,26037,10338,385470,0.03,0.03,0.03,0,14,74,0,4,0,6,0,2,0,0,77.19,134,90
430000,2026-01-16T11:41:25.259247,37239,4491,26672,10566,20101,0.4654177374927222,0.00394762,0.30556502555301923,44.91,221.81,266.72,66.5,305.89,372.39,21.58,84.08,105.66,0.4654177374927222,3947.62,3.94762e-05,201.01,0.0,0.0,0.30556502555301923,4491,22181,26672,10566,394762,0.03,0.03,0.03,0,13,76,0,4,0,5,0,2,0,0,68.81,104,93
440000,2026-01-16T11:41:25.792768,38089,4595,27288,10800,20545,0.4638645691254291,0.00403906,0.3052529210743848,45.95,226.93,272.88,68.09,312.8,380.89,22.13,85.87,108.0,0.4638645691254291,4039.06,4.03906e-05,205.45,0.0,0.0,0.3052529210743848,4595,22693,27288,10800,403906,0.03,0.03,0.03,0,13,78,0,0,0,4,0,5,0,0,48.84,128,56
450000,2026-01-16T11:41:26.333141,38977,4703,27937,11039,21001,0.4630408022883895,0.00413013,0.30499045422438253,47.03,232.34,279.37,69.73,320.04,389.77,22.69,87.7,110.39,0.4630408022883895,4130.13,4.1301300000000004e-05,210.01,0.0,0.0,0.30499045422438253,4703,23234,27937,11039,413013,0.03,0.03,0.03,0,8,78,0,1,0,9,0,4,0,0,61.37,153,61
460000,2026-01-16T11:41:26.864238,39795,4807,28525,11269,21410,0.4608887399140672,0.00422345,0.3044710011961351,48.07,237.18,285.25,71.38,326.57,397.95,23.31,89.38,112.69,0.4608887399140672,4223.45,4.2234500000000004e-05,214.1,0.0,0.0,0.3044710011961351,4807,23718,28525,11269,422345,0.03,0.03,0.03,0,14,69,0,6,0,7,0,4,0,0,124.62,179,89
470000,2026-01-16T11:41:27.400576,40630,4910,29133,11496,21837,0.4596736836645188,0.00431648,0.30400473372654924,49.1,242.23,291.33,73.06,333.24,406.3,23.95,91.01,114.96,0.4596736836645188,4316.48,4.3164800000000004e-05,218.37,0.0,0.0,0.30400473372654924,4910,24223,29133,11496,431648,0.03,0.03,0.03,0,12,75,0,2,0,5,0,6,0,0,98.74,164,94
480000,2026-01-16T11:41:27.939276,41499,5019,29770,11728,22266,0.45793492665434277,0.00440846,0.3035448774820711,50.19,247.51,297.7,74.83,340.16,414.99,24.63,92.65,117.28,0.45793492665434277,4408.46,4.40846e-05,222.66,0.0,0.0,0.3035448774820711,5019,24751,29770,11728,440846,0.03,0.03,0.03,0,8,79,0,2,0,6,0,5,0,0,79.18,128,83
490000,2026-01-16T11:41:28.534621,42353,5125,30383,11969,22710,0.45764624884483623,0.00449952,0.30358729378789756,51.25,252.58,303.83,76.45,347.08,423.53,25.19,94.5,119.69,0.45764624884483623,4499.52,4.49952e-05,227.1,0.0,0.0,0.30358729378789756,5125,25258,30383,11969,449952,0.03,0.03,0.03,0,6,83,0,2,0,6,0,3,0,0,78.67,120,88
500000,2026-01-16T11:41:29.128415,43198,5230,30999,12198,23135,0.45682471482190734,0.00459232,0.30336452567540295,52.3,257.69,309.99,78.11,353.87,431.98,25.8,96.18,121.98,0.45682471482190734,4592.32,4.59232e-05,231.35,0.0,0.0,0.30336452567540295,5230,25769,30999,12198,459232,0.03,0.03,0.03,0,14,75,0,0,0,7,0,4,0,0,61.08,113,76
510000,2026-01-16T11:41:29.681962,44073,5339,31627,12445,23592,0.4570952821636031,0.00468442,0.30352544903502265,53.39,262.88,316.27,79.72,361.01,440.73,26.32,98.13,124.45,0.4570952821636031,4684.42,4.68442e-05,235.92,0.0,0.0,0.30352544903502265,5339,26288,31627,12445,468442,0.03,0.03,0.03,0,11,74,0,2,0,9,0,4,0,0,84.89,165,90
520000,2026-01-16T11:41:30.219858,44917,5444,32228,12688,24042,0.45776241987037325,0.00477714,0.303750336743085,54.44,267.84,322.28,81.31,367.86,449.17,26.86,100.02,126.88,0.45776241987037325,4777.14,4.77714e-05,240.42,0.0,0.0,0.303750336743085,5444,26784,32228,12688,477714,0.03,0.03,0.03,0,10,82,0,0,0,4,0,4,0,0,48.43,140,58
